166, 2, 4, blackbad, Black, White, W5jpg.jpg, 7.487954e+04, 7.507481e+04, 7.507507e+04, i, 5.904963e-01, 1, 5.904963e-01
167, 3, 4, blackbad, Black, White, Fantastic, 7.487954e+04, 7.507568e+04, 7.507593e+04, i, 6.268219e-01, 1, 6.268219e-01
168, 1, 4, blackbad, Black, White, B8jpg.jpg, 7.487954e+04, 7.507657e+04, 7.507683e+04, e, 5.188269e-01, 1, 5.188269e-01
169, 3, 4, blackbad, Black, White, Great, 7.487954e+04, 7.507736e+04, 7.507761e+04, i, 5.976167e-01, 1, 5.976167e-01
170, 1, 4, blackbad, Black, White, B1jpg.jpg, 7.487954e+04, 7.507822e+04, 7.507848e+04, e, 5.906390e-01, 1, 5.906390e-01
171, 4, 4, blackbad, Black, White, Revolting, 7.487954e+04, 7.507908e+04, 7.507934e+04, e, 7.477391e-01, 1, 7.477391e-01
172, 2, 4, blackbad, Black, White, W6jpg.jpg, 7.487954e+04, 7.508010e+04, 7.508035e+04, i, 6.094078e-01, 1, 6.094078e-01
173, 4, 4, blackbad, Black, White, Nasty, 7.487954e+04, 7.508097e+04, 7.508122e+04, e, 6.333193e-01, 1, 6.333193e-01
174, 1, 4, blackbad, Black, White, B7jpg.jpg, 7.487954e+04, 7.508187e+04, 7.508213e+04, e, 4.768953e-01, 1, 4.768953e-01
175, 4, 4, blackbad, Black, White, Horrible, 7.487954e+04, 7.508261e+04, 7.508286e+04, e, 5.010991e-01, 1, 5.010991e-01
176, 2, 4, blackbad, Black, White, W6jpg.jpg, 7.487954e+04, 7.508338e+04, 7.508363e+04, i, 5.311528e-01, 1, 5.311528e-01
177, 4, 4, blackbad, Black, White, Horrid, 7.487954e+04, 7.508417e+04, 7.508443e+04, e, 4.889702e-01, 1, 4.889702e-01
178, 1, 4, blackbad, Black, White, B8jpg.jpg, 7.487954e+04, 7.508493e+04, 7.508519e+04, e, 5.794168e-01, 1, 5.794168e-01
179, 3, 4, blackbad, Black, White, Fantastic, 7.487954e+04, 7.508577e+04, 7.508604e+04, i, 5.790979e-01, 1, 5.790979e-01
180, 2, 4, blackbad, Black, White, W6jpg.jpg, 7.487954e+04, 7.508663e+04, 7.508689e+04, i, 5.674834e-01, 0, 9.576349e-01
